=========================================
get_sin_data: 8, 8, 50
sin_val of 0: 0
sin_val of 1: 121
sin_val of 2: 81
sin_val of 3: -66
sin_val of 4: -126
sin_val of 5: -19
sin_val of 6: 113
sin_val of 7: 95
sin_val of 8: -49
sin_val of 9: -128
sin_val of 10: -37
sin_val of 11: 103
sin_val of 12: 106
sin_val of 13: -31
sin_val of 14: -127
sin_val of 15: -55
sin_val of 16: 91
sin_val of 17: 116
sin_val of 18: -13
sin_val of 19: -124
sin_val of 20: -71
sin_val of 21: 76
sin_val of 22: 122
sin_val of 23: 6
sin_val of 24: -118
sin_val of 25: -86
sin_val of 26: 60
sin_val of 27: 127
sin_val of 28: 25
sin_val of 29: -110
sin_val of 30: -99
sin_val of 31: 43
sin_val of 32: 128
sin_val of 33: 43
sin_val of 34: -99
sin_val of 35: -110
sin_val of 36: 25
sin_val of 37: 127
sin_val of 38: 60
sin_val of 39: -86
sin_val of 40: -118
sin_val of 41: 6
sin_val of 42: 122
sin_val of 43: 76
sin_val of 44: -71
sin_val of 45: -124
sin_val of 46: -13
sin_val of 47: 116
sin_val of 48: 91
sin_val of 49: -55
sin_val of 50: -127
sin_val of 51: -31
sin_val of 52: 106
sin_val of 53: 103
sin_val of 54: -37
sin_val of 55: -128
sin_val of 56: -49
sin_val of 57: 95
sin_val of 58: 113
sin_val of 59: -19
sin_val of 60: -126
sin_val of 61: -66
sin_val of 62: 81
sin_val of 63: 121
sin_val of 64: 0
sin_val of 65: -121
sin_val of 66: -81
sin_val of 67: 66
sin_val of 68: 126
sin_val of 69: 19
sin_val of 70: -113
sin_val of 71: -95
sin_val of 72: 49
sin_val of 73: 128
sin_val of 74: 37
sin_val of 75: -103
sin_val of 76: -106
sin_val of 77: 31
sin_val of 78: 127
sin_val of 79: 55
sin_val of 80: -91
sin_val of 81: -116
sin_val of 82: 13
sin_val of 83: 124
sin_val of 84: 71
sin_val of 85: -76
sin_val of 86: -122
sin_val of 87: -6
sin_val of 88: 118
sin_val of 89: 86
sin_val of 90: -60
sin_val of 91: -127
sin_val of 92: -25
sin_val of 93: 110
sin_val of 94: 99
sin_val of 95: -43
sin_val of 96: -128
sin_val of 97: -43
sin_val of 98: 99
sin_val of 99: 110
sin_val of 100: -25
sin_val of 101: -127
sin_val of 102: -60
sin_val of 103: 86
sin_val of 104: 118
sin_val of 105: -6
sin_val of 106: -122
sin_val of 107: -76
sin_val of 108: 71
sin_val of 109: 124
sin_val of 110: 13
sin_val of 111: -116
sin_val of 112: -91
sin_val of 113: 55
sin_val of 114: 127
sin_val of 115: 31
sin_val of 116: -106
sin_val of 117: -103
sin_val of 118: 37
sin_val of 119: 128
sin_val of 120: 49
sin_val of 121: -95
sin_val of 122: -113
sin_val of 123: 19
sin_val of 124: 126
sin_val of 125: 66
sin_val of 126: -81
sin_val of 127: -121
sin_val of 128: 0
sin_val of 129: 121
sin_val of 130: 81
sin_val of 131: -66
sin_val of 132: -126
sin_val of 133: -19
sin_val of 134: 113
sin_val of 135: 95
sin_val of 136: -49
sin_val of 137: -128
sin_val of 138: -37
sin_val of 139: 103
sin_val of 140: 106
sin_val of 141: -31
sin_val of 142: -127
sin_val of 143: -55
sin_val of 144: 91
sin_val of 145: 116
sin_val of 146: -13
sin_val of 147: -124
sin_val of 148: -71
sin_val of 149: 76
sin_val of 150: 122
sin_val of 151: 6
sin_val of 152: -118
sin_val of 153: -86
sin_val of 154: 60
sin_val of 155: 127
sin_val of 156: 25
sin_val of 157: -110
sin_val of 158: -99
sin_val of 159: 43
sin_val of 160: 128
sin_val of 161: 43
sin_val of 162: -99
sin_val of 163: -110
sin_val of 164: 25
sin_val of 165: 127
sin_val of 166: 60
sin_val of 167: -86
sin_val of 168: -118
sin_val of 169: 6
sin_val of 170: 122
sin_val of 171: 76
sin_val of 172: -71
sin_val of 173: -124
sin_val of 174: -13
sin_val of 175: 116
sin_val of 176: 91
sin_val of 177: -55
sin_val of 178: -127
sin_val of 179: -31
sin_val of 180: 106
sin_val of 181: 103
sin_val of 182: -37
sin_val of 183: -128
sin_val of 184: -49
sin_val of 185: 95
sin_val of 186: 113
sin_val of 187: -19
sin_val of 188: -126
sin_val of 189: -66
sin_val of 190: 81
sin_val of 191: 121
sin_val of 192: 0
sin_val of 193: -121
sin_val of 194: -81
sin_val of 195: 66
sin_val of 196: 126
sin_val of 197: 19
sin_val of 198: -113
sin_val of 199: -95
sin_val of 200: 49
sin_val of 201: 128
sin_val of 202: 37
sin_val of 203: -103
sin_val of 204: -106
sin_val of 205: 31
sin_val of 206: 127
sin_val of 207: 55
sin_val of 208: -91
sin_val of 209: -116
sin_val of 210: 13
sin_val of 211: 124
sin_val of 212: 71
sin_val of 213: -76
sin_val of 214: -122
sin_val of 215: -6
sin_val of 216: 118
sin_val of 217: 86
sin_val of 218: -60
sin_val of 219: -127
sin_val of 220: -25
sin_val of 221: 110
sin_val of 222: 99
sin_val of 223: -43
sin_val of 224: -128
sin_val of 225: -43
sin_val of 226: 99
sin_val of 227: 110
sin_val of 228: -25
sin_val of 229: -127
sin_val of 230: -60
sin_val of 231: 86
sin_val of 232: 118
sin_val of 233: -6
sin_val of 234: -122
sin_val of 235: -76
sin_val of 236: 71
sin_val of 237: 124
sin_val of 238: 13
sin_val of 239: -116
sin_val of 240: -91
sin_val of 241: 55
sin_val of 242: 127
sin_val of 243: 31
sin_val of 244: -106
sin_val of 245: -103
sin_val of 246: 37
sin_val of 247: 128
sin_val of 248: 49
sin_val of 249: -95
sin_val of 250: -113
sin_val of 251: 19
sin_val of 252: 126
sin_val of 253: 66
sin_val of 254: -81
sin_val of 255: -121
get_sin_data finished
=========================================
