
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Connection_system, 395, 397, 254, 0, 0, 0, 4, 5, 67
.	. Connection_system_sb, 9, 2, 0, 0, 0, 0, 0, 3, 0
.	.	. Connection_system_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. Connection_system_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. Connection_system_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	. CoreAPB3_C0, 0, 52, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3, 0, 52, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 48, 0, 0, 0, 0, 0, 0, 0
.	. LED_inverter_dimmer, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	. Nokia5110_Driver, 123, 195, 44, 0, 0, 0, 4, 2, 0
.	.	. timerZ0, 20, 14, 19, 0, 0, 0, 0, 0, 0
.	.	. timerZ1, 7, 11, 0, 0, 0, 0, 0, 1, 0
.	. corepwm_C0, 263, 140, 210, 0, 0, 0, 0, 0, 0
.	.	. corepwm, 263, 140, 210, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_pwm_gen, 2, 39, 32, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_reg_if, 195, 97, 32, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_timebase, 64, 1, 146, 0, 0, 0, 0, 0, 0
